date dx dy dz
200101 0000 0.000 0.000 0.000
200102 0000 -0.003 0.003 0.001
200103 0000 -0.003 0.001 0.001
200104 0000 -0.004 0.002 0.001
200105 0000 -0.004 0.001 0.001
200106 0000 -0.005 0.001 0.001
200107 0000 -0.005 0.002 0.001
200108 0000 -0.005 0.000 0.001
200109 0000 -0.005 0.000 0.001
200110 0000 -0.005 0.000 0.001
200111 0000 -0.006 0.002 0.001
200112 0000 -0.006 0.000 0.001
200113 0000 -0.006 0.000 0.001
200114 0000 -0.006 0.000 0.001
200115 0000 -0.007 0.001 0.001
200116 0000 -0.006 -0.001 -0.000
200117 0000 -0.006 -0.001 0.001
200118 0000 -0.007 -0.001 0.001
200119 0000 -0.007 -0.001 0.001
200120 0000 -0.009 -0.001 0.002
200121 0000 -0.010 -0.001 0.002
200122 0000 -0.009 -0.001 0.002
200123 0000 -0.008 -0.001 0.001
200124 0000 -0.011 0.000 0.001
200125 0000 -0.013 0.000 0.001
200126 0000 -0.015 0.001 0.001
200127 0000 -0.016 0.002 0.001
200128 0000 -0.016 0.002 0.001
200129 0000 -0.016 0.002 0.001
200130 0000 -0.016 0.002 0.001
200131 0000 -0.015 0.000 0.001
200201 0000 -0.014 -0.001 0.001
200202 0000 -0.013 -0.001 0.002
200203 0000 -0.013 -0.003 0.001
200204 0000 -0.012 -0.002 0.001
200205 0000 -0.014 -0.001 0.001
200206 0000 -0.016 0.002 0.001
200207 0000 -0.016 0.001 0.002
200208 0000 -0.018 0.002 0.002
200209 0000 -0.020 0.001 0.002
200210 0000 -0.022 -0.001 0.003
200211 0000 -0.021 -0.001 0.003
200212 0000 -0.022 -0.000 0.003
200213 0000 -0.021 -0.001 0.003
200214 0000 -0.022 -0.001 0.003
200215 0000 -0.022 -0.001 0.003
200216 0000 -0.021 -0.002 0.003
200217 0000 -0.021 -0.002 0.003
200218 0000 -0.021 -0.002 0.003
200219 0000 -0.020 -0.000 0.003
200220 0000 -0.020 -0.002 0.003
200221 0000 -0.020 -0.000 0.003
200222 0000 -0.020 -0.002 0.003
200223 0000 -0.019 -0.003 0.003
