date dx dy dz
190101 0000 0.000 0.000 0.000
190102 0000 0.000 0.000 -0.001
190103 0000 -0.000 0.002 -0.001
190106 0000 -0.001 -0.001 -0.001
190107 0000 -0.001 0.001 -0.000
190108 0000 -0.000 0.001 -0.001
190109 0000 -0.000 0.001 -0.004
190112 0000 -0.001 0.000 -0.001
190113 0000 -0.001 0.001 -0.001
190114 0000 -0.001 0.001 -0.001
190115 0000 -0.001 0.001 0.000
190116 0000 0.001 0.000 -0.003
190117 0000 0.002 -0.005 -0.003
190118 0000 -0.001 0.000 -0.002
190119 0000 -0.000 -0.002 -0.004
190120 0000 -0.000 0.000 -0.005
190121 0000 -0.001 0.000 -0.004
190122 0000 0.001 -0.002 -0.002
190123 0000 -0.000 -0.002 -0.002
190124 0000 0.000 -0.000 -0.004
190125 0000 0.001 -0.002 -0.004
190126 0000 0.000 0.001 -0.005
190127 0000 0.000 -0.002 -0.004
190128 0000 0.000 -0.000 -0.005
190129 0000 -0.000 0.001 -0.004
190130 0000 0.001 -0.003 -0.005
190131 0000 0.000 -0.000 -0.004
190201 0000 0.000 -0.002 -0.004
190202 0000 0.001 -0.003 -0.003
190203 0000 0.000 -0.002 -0.002
190204 0000 0.001 -0.007 0.004
190205 0000 0.002 -0.007 -0.003
190206 0000 0.001 -0.006 -0.003
190207 0000 0.001 -0.006 -0.003
190208 0000 0.002 -0.007 -0.003
190209 0000 0.001 -0.004 -0.004
190210 0000 0.001 -0.003 -0.004
190211 0000 0.000 -0.002 -0.002
190212 0000 0.001 -0.003 -0.004
190213 0000 0.001 -0.003 -0.004
190214 0000 0.001 -0.003 -0.003
190215 0000 0.002 -0.006 -0.005
190216 0000 0.001 -0.003 -0.005
190217 0000 0.001 -0.004 -0.004
190218 0000 0.001 -0.003 -0.004
190219 0000 0.001 -0.003 -0.004
190220 0000 0.001 -0.003 -0.003
190221 0000 0.001 -0.003 -0.005
190222 0000 0.000 -0.003 -0.000
190223 0000 0.001 -0.003 -0.004
190224 0000 0.001 -0.003 -0.004
190225 0000 0.001 -0.003 -0.003
190226 0000 0.001 -0.005 -0.004
190227 0000 0.001 -0.005 -0.004
190228 0000 0.000 -0.004 -0.003
190301 0000 0.000 -0.004 -0.003
190302 0000 -0.000 -0.002 -0.004
190303 0000 -0.000 -0.003 -0.002
190304 0000 0.000 -0.003 -0.004
190305 0000 -0.000 -0.002 -0.004
